ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1611,1610,M,86,A,R,"22 READE ST, 1",22 Reade St,1,22 Reade St,40.714236,-74.004809,22 Reade St,"22 Reade St, New York, NY 10007",Bing Maps,address
1612,1611,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
1613,1612,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1614,1613,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1615,1614,T,67,A, ,OLMSTED DR,Flushing Meadow Pk Olmsted Ctr,R,Flushing Meadow Pk Olmsted Ctr,0,0,Flushing Meadow Pk Olmsted Ctr,-,Bing Maps, 
1616,1615,T,67,A, ,OLMSTED DR,Flushing Meadow Pk Olmsted Ctr,R,Flushing Meadow Pk Olmsted Ctr,0,0,Flushing Meadow Pk Olmsted Ctr,-,Bing Maps, 
1617,1616,T,67,A, ,OLMSTED DR,Flushing Meadow Pk Olmsted Ctr,R,Flushing Meadow Pk Olmsted Ctr,0,0,Flushing Meadow Pk Olmsted Ctr,-,Bing Maps, 
1618,1617,T,86,A,R,"470 VANDERBILT AVE, 3",470 Vanderbilt Ave,3,470 Vanderbilt Ave,40.683077,-73.967854,470 Vanderbilt Ave,"470 Vanderbilt Ave, Brooklyn, NY 11238",Bing Maps,address
1619,1618,U,0,A, , ,Prospect Pk 95 Ppw &5Th St, ,Prospect Pk 95 Ppw &5Th St,0,0,Prospect Pk 95 Ppw &5Th St,-,Bing Maps, 
1620,1619,M,86,A,L,"24 W 61ST ST, 1",24 West 61 Street,1,24 West 61 Street,40.769904,-73.982626,24 West 61 Street,"24 W 61st St, New York, NY 10023",Bing Maps,address
1621,1620,M,86,A,R,"260 E 161ST ST, 2",260 E 161St St.,2,260 E 161St St.,40.825424,-73.919067,260 E 161St St.,"260 E 161st St, Bronx, NY 10451",Bing Maps,address
